video_name,signer,class,label,split,view,landmarks_path,landmarks_177_path,frames,features_per_frame
s0004_f_w000043,s0004,Angry,0,test,front,landmarks/s0004/Angry/s0004_f_w000043/landmarks.npy,landmarks/s0004/Angry/s0004_f_w000043/landmarks_177.npy,150,177
s0006_f_w000043,s0006,Angry,0,test,front,landmarks/s0006/Angry/s0006_f_w000043/landmarks.npy,landmarks/s0006/Angry/s0006_f_w000043/landmarks_177.npy,210,177
s0010_f_w000043,s0010,Angry,0,test,front,landmarks/s0010/Angry/s0010_f_w000043/landmarks.npy,landmarks/s0010/Angry/s0010_f_w000043/landmarks_177.npy,180,177
s0014_f_w000043,s0014,Angry,0,test,front,landmarks/s0014/Angry/s0014_f_w000043/landmarks.npy,landmarks/s0014/Angry/s0014_f_w000043/landmarks_177.npy,180,177
s0016_f_w000043,s0016,Angry,0,test,front,landmarks/s0016/Angry/s0016_f_w000043/landmarks.npy,landmarks/s0016/Angry/s0016_f_w000043/landmarks_177.npy,150,177
s0017_f_w000043,s0017,Angry,0,test,front,landmarks/s0017/Angry/s0017_f_w000043/landmarks.npy,landmarks/s0017/Angry/s0017_f_w000043/landmarks_177.npy,120,177
s0019_f_w000043,s0019,Angry,0,test,front,landmarks/s0019/Angry/s0019_f_w000043/landmarks.npy,landmarks/s0019/Angry/s0019_f_w000043/landmarks_177.npy,180,177
s0020_f_w000043,s0020,Angry,0,test,front,landmarks/s0020/Angry/s0020_f_w000043/landmarks.npy,landmarks/s0020/Angry/s0020_f_w000043/landmarks_177.npy,210,177
s0004_f_w001572,s0004,Bag,1,test,front,landmarks/s0004/Bag/s0004_f_w001572/landmarks.npy,landmarks/s0004/Bag/s0004_f_w001572/landmarks_177.npy,150,177
s0006_f_w001572,s0006,Bag,1,test,front,landmarks/s0006/Bag/s0006_f_w001572/landmarks.npy,landmarks/s0006/Bag/s0006_f_w001572/landmarks_177.npy,180,177
s0010_f_w001572,s0010,Bag,1,test,front,landmarks/s0010/Bag/s0010_f_w001572/landmarks.npy,landmarks/s0010/Bag/s0010_f_w001572/landmarks_177.npy,150,177
