id,video_path,video_dir,video_name,class,label,split,signer,view
11129,/home/billu/FDMSE-ISL/data/s0004/front/s0004_f_w000043.mp4,data/s0004/front/s0004_f_w000043.mp4,s0004_f_w000043.mp4,Angry,0,test,s0004,front
28582,/home/billu/FDMSE-ISL/data/s0006/front/s0006_f_w000043.mp4,data/s0006/front/s0006_f_w000043.mp4,s0006_f_w000043.mp4,Angry,0,test,s0006,front
40987,/home/billu/FDMSE-ISL/data/s0010/front/s0010_f_w000043.mp4,data/s0010/front/s0010_f_w000043.mp4,s0010_f_w000043.mp4,Angry,0,test,s0010,front
16540,/home/billu/FDMSE-ISL/data/s0014/front/s0014_f_w000043.mp4,data/s0014/front/s0014_f_w000043.mp4,s0014_f_w000043.mp4,Angry,0,test,s0014,front
3696,/home/billu/FDMSE-ISL/data/s0016/front/s0016_f_w000043.mp4,data/s0016/front/s0016_f_w000043.mp4,s0016_f_w000043.mp4,Angry,0,test,s0016,front
6056,/home/billu/FDMSE-ISL/data/s0017/front/s0017_f_w000043.mp4,data/s0017/front/s0017_f_w000043.mp4,s0017_f_w000043.mp4,Angry,0,test,s0017,front
32970,/home/billu/FDMSE-ISL/data/s0019/front/s0019_f_w000043.mp4,data/s0019/front/s0019_f_w000043.mp4,s0019_f_w000043.mp4,Angry,0,test,s0019,front
22509,/home/billu/FDMSE-ISL/data/s0020/front/s0020_f_w000043.mp4,data/s0020/front/s0020_f_w000043.mp4,s0020_f_w000043.mp4,Angry,0,test,s0020,front
10680,/home/billu/FDMSE-ISL/data/s0004/front/s0004_f_w001572.mp4,data/s0004/front/s0004_f_w001572.mp4,s0004_f_w001572.mp4,Bag,1,test,s0004,front
29278,/home/billu/FDMSE-ISL/data/s0006/front/s0006_f_w001572.mp4,data/s0006/front/s0006_f_w001572.mp4,s0006_f_w001572.mp4,Bag,1,test,s0006,front
41903,/home/billu/FDMSE-ISL/data/s0010/front/s0010_f_w001572.mp4,data/s0010/front/s0010_f_w001572.mp4,s0010_f_w001572.mp4,Bag,1,test,s0010,front
16868,/home/billu/FDMSE-ISL/data/s0014/front/s0014_f_w001572.mp4,data/s0014/front/s0014_f_w001572.mp4,s0014_f_w001572.mp4,Bag,1,test,s0014,front
3512,/home/billu/FDMSE-ISL/data/s0016/front/s0016_f_w001572.mp4,data/s0016/front/s0016_f_w001572.mp4,s0016_f_w001572.mp4,Bag,1,test,s0016,front
7839,/home/billu/FDMSE-ISL/data/s0017/front/s0017_f_w001572.mp4,data/s0017/front/s0017_f_w001572.mp4,s0017_f_w001572.mp4,Bag,1,test,s0017,front
31937,/home/billu/FDMSE-ISL/data/s0019/front/s0019_f_w001572.mp4,data/s0019/front/s0019_f_w001572.mp4,s0019_f_w001572.mp4,Bag,1,test,s0019,front
23114,/home/billu/FDMSE-ISL/data/s0020/front/s0020_f_w001572.mp4,data/s0020/front/s0020_f_w001572.mp4,s0020_f_w001572.mp4,Bag,1,test,s0020,front
11780,/home/billu/FDMSE-ISL/data/s0004/front/s0004_f_w000125.mp4,data/s0004/front/s0004_f_w000125.mp4,s0004_f_w000125.mp4,Bathroom,2,test,s0004,front
29757,/home/billu/FDMSE-ISL/data/s0006/front/s0006_f_w000125.mp4,data/s0006/front/s0006_f_w000125.mp4,s0006_f_w000125.mp4,Bathroom,2,test,s0006,front
40535,/home/billu/FDMSE-ISL/data/s0010/front/s0010_f_w000125.mp4,data/s0010/front/s0010_f_w000125.mp4,s0010_f_w000125.mp4,Bathroom,2,test,s0010,front
16443,/home/billu/FDMSE-ISL/data/s0014/front/s0014_f_w000125.mp4,data/s0014/front/s0014_f_w000125.mp4,s0014_f_w000125.mp4,Bathroom,2,test,s0014,front
3101,/home/billu/FDMSE-ISL/data/s0016/front/s0016_f_w000125.mp4,data/s0016/front/s0016_f_w000125.mp4,s0016_f_w000125.mp4,Bathroom,2,test,s0016,front
6662,/home/billu/FDMSE-ISL/data/s0017/front/s0017_f_w000125.mp4,data/s0017/front/s0017_f_w000125.mp4,s0017_f_w000125.mp4,Bathroom,2,test,s0017,front
32384,/home/billu/FDMSE-ISL/data/s0019/front/s0019_f_w000125.mp4,data/s0019/front/s0019_f_w000125.mp4,s0019_f_w000125.mp4,Bathroom,2,test,s0019,front
22172,/home/billu/FDMSE-ISL/data/s0020/front/s0020_f_w000125.mp4,data/s0020/front/s0020_f_w000125.mp4,s0020_f_w000125.mp4,Bathroom,2,test,s0020,front
10439,/home/billu/FDMSE-ISL/data/s0004/front/s0004_f_w000430.mp4,data/s0004/front/s0004_f_w000430.mp4,s0004_f_w000430.mp4,Book,3,test,s0004,front
29399,/home/billu/FDMSE-ISL/data/s0006/front/s0006_f_w000430.mp4,data/s0006/front/s0006_f_w000430.mp4,s0006_f_w000430.mp4,Book,3,test,s0006,front
40940,/home/billu/FDMSE-ISL/data/s0010/front/s0010_f_w000430.mp4,data/s0010/front/s0010_f_w000430.mp4,s0010_f_w000430.mp4,Book,3,test,s0010,front
16400,/home/billu/FDMSE-ISL/data/s0014/front/s0014_f_w000430.mp4,data/s0014/front/s0014_f_w000430.mp4,s0014_f_w000430.mp4,Book,3,test,s0014,front
2805,/home/billu/FDMSE-ISL/data/s0016/front/s0016_f_w000430.mp4,data/s0016/front/s0016_f_w000430.mp4,s0016_f_w000430.mp4,Book,3,test,s0016,front
6185,/home/billu/FDMSE-ISL/data/s0017/front/s0017_f_w000430.mp4,data/s0017/front/s0017_f_w000430.mp4,s0017_f_w000430.mp4,Book,3,test,s0017,front
32232,/home/billu/FDMSE-ISL/data/s0019/front/s0019_f_w000430.mp4,data/s0019/front/s0019_f_w000430.mp4,s0019_f_w000430.mp4,Book,3,test,s0019,front
22379,/home/billu/FDMSE-ISL/data/s0020/front/s0020_f_w000430.mp4,data/s0020/front/s0020_f_w000430.mp4,s0020_f_w000430.mp4,Book,3,test,s0020,front
11814,/home/billu/FDMSE-ISL/data/s0004/front/s0004_f_w000005.mp4,data/s0004/front/s0004_f_w000005.mp4,s0004_f_w000005.mp4,Brother,4,test,s0004,front
29713,/home/billu/FDMSE-ISL/data/s0006/front/s0006_f_w000005.mp4,data/s0006/front/s0006_f_w000005.mp4,s0006_f_w000005.mp4,Brother,4,test,s0006,front
40147,/home/billu/FDMSE-ISL/data/s0010/front/s0010_f_w000005.mp4,data/s0010/front/s0010_f_w000005.mp4,s0010_f_w000005.mp4,Brother,4,test,s0010,front
17397,/home/billu/FDMSE-ISL/data/s0014/front/s0014_f_w000005.mp4,data/s0014/front/s0014_f_w000005.mp4,s0014_f_w000005.mp4,Brother,4,test,s0014,front
3680,/home/billu/FDMSE-ISL/data/s0016/front/s0016_f_w000005.mp4,data/s0016/front/s0016_f_w000005.mp4,s0016_f_w000005.mp4,Brother,4,test,s0016,front
7115,/home/billu/FDMSE-ISL/data/s0017/front/s0017_f_w000005.mp4,data/s0017/front/s0017_f_w000005.mp4,s0017_f_w000005.mp4,Brother,4,test,s0017,front
32369,/home/billu/FDMSE-ISL/data/s0019/front/s0019_f_w000005.mp4,data/s0019/front/s0019_f_w000005.mp4,s0019_f_w000005.mp4,Brother,4,test,s0019,front
22210,/home/billu/FDMSE-ISL/data/s0020/front/s0020_f_w000005.mp4,data/s0020/front/s0020_f_w000005.mp4,s0020_f_w000005.mp4,Brother,4,test,s0020,front
11106,/home/billu/FDMSE-ISL/data/s0004/front/s0004_f_w001133.mp4,data/s0004/front/s0004_f_w001133.mp4,s0004_f_w001133.mp4,Come,5,test,s0004,front
29501,/home/billu/FDMSE-ISL/data/s0006/front/s0006_f_w001133.mp4,data/s0006/front/s0006_f_w001133.mp4,s0006_f_w001133.mp4,Come,5,test,s0006,front
41457,/home/billu/FDMSE-ISL/data/s0010/front/s0010_f_w001133.mp4,data/s0010/front/s0010_f_w001133.mp4,s0010_f_w001133.mp4,Come,5,test,s0010,front
15930,/home/billu/FDMSE-ISL/data/s0014/front/s0014_f_w001133.mp4,data/s0014/front/s0014_f_w001133.mp4,s0014_f_w001133.mp4,Come,5,test,s0014,front
3528,/home/billu/FDMSE-ISL/data/s0016/front/s0016_f_w001133.mp4,data/s0016/front/s0016_f_w001133.mp4,s0016_f_w001133.mp4,Come,5,test,s0016,front
